vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Motorcycle,871110,,8711100000,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS7121,United States,South Africa,South Africa,5,2024,10,2024-10,2024-10-26,20241027,20241027,import,1,47243643.03,84906.51,kg,KG,Autonation Enterprises Incorporated,,[in full dataset],Fort Lauderdale,,www.mercedesfla.com,[in full dataset],Y,QC TRAILERS (PTY) LTD,[in full dataset],ZASTRON,,www.qctrailers.co.za,[in full dataset],Y,Autonation Enterprises Incorporated,[in full dataset],,15235,15235,"Oakland, CA",Port Elizabeth,ZASTRON,1,1,19.04,HYUNDAI LOYALTY,IMO9667027,PA,V945,264,MAEU,SWB,ONEY825358596,COSU815941688,TCLU5413873,40GP,TANK,RF,FCL,CY/CFS,CEVA Logistics,75191.63
Motorcycle,871110,,871110000,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS9325,Japan,South Africa,South Africa,5,2025,12,2025-12,2025-12-04,20251221,20251221,import,1,47474120.19,1377.03,kg,KG,"AI-KOUMUTEN HOLDING COMPANY CO., LTD.",,[in full dataset],OSAKA,,,,Y,HAPPY CHAPPY CC,[in full dataset],KRUGERSDORP,,www.lftrailers.co.za,[in full dataset],Y,"AI-KOUMUTEN HOLDING COMPANY CO., LTD.",[in full dataset],,22253.1,22253.1,Kobe,Cape Town,KRUGERSDORP,1,1,27.82,EVER ACME,IMO1102651,SG,V482,640,YMLU,MBL,HLCU929777322,HLCU285759183,TCLU8183829,40HC,DRY,GP,FCL,CY/CY,DSV,1255.38
Goods vehicle (truck),870452,87045290,870452000,6,"Vehicles; with both spark-ignition internal combustion piston engine and electric motors for propulsion, of a g.v.w. exceeding 5,000kg",MARKS8918,Japan,South Africa,South Africa,9,2024,7,2024-07,2024-07-21,20240708,20240708,export,1,98486065.83,74957.96,kg,KG,"NINTENDO CO., LTD.",,[in full dataset],KYOTO,,www.nintendo.com/jp/,[in full dataset],Y,ZF SERVICES SOUTH AFRICA (PTY) LTD,[in full dataset],EDENVALE,,www.zfsa.co.za,[in full dataset],Y,"NINTENDO CO., LTD.",[in full dataset],,18912.4,18912.4,Kobe,Cape Town,EDENVALE,1,1,23.64,OOCL HONG KONG,IMO5804876,PA,V202,713,MSCU,HBL,MAEU398906261,MSCU871401161,GESU1394257,20GP,TANK,GP,LCL,CFS/CFS,Yusen Logistics,67877.44
Motorcycle,871140,,87114000,9,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc, with or without sidecars; side-cars",MARKS6013,Germany,South Africa,South Africa,8,2024,6,2024-06,2024-06-18,20240604,20240604,export,1,167835062.46,203762.46,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,BUSY BODIES SECURITY (PTY) LTD,[in full dataset],MIDDELBURG,,,,Y,AUMOVIO SE,[in full dataset],,10192.7,10192.7,Bremerhaven,Cape Town,MIDDELBURG,1,1,12.74,COSCO UNIVERSE,IMO7231224,MH,V335,440,MSCU,HBL,EGLV502726391,EGLV535227006,TGHU8038716,40GP,DRY,GP,LCL,CY/CY,DB Schenker,179430.4
Motorcycle,871110,,87111015,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS6287,Thailand,South Africa,South Africa,8,2024,2,2024-02,2024-02-14,20240217,20240217,export,1,69875968.86,59722.87,kg,KG,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,,[in full dataset],PHRA KHANONG,,www.bangchak.co.th,[in full dataset],N,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,[in full dataset],,13307.3,13307.3,Laem Chabang,Durban,BLOEMFONTEIN,1,1,16.63,EVER GIVEN,IMO9756931,LR,V525,151,APLU,HBL,ONEY679307862,CMDU586632704,MSCU1784695,45HC,DRY,RF,FCL,CFS/CFS,Expeditors,55182.42
Goods vehicle (truck),870410,87041030,8704105050,9,"Vehicles; dumpers, designed for off-highway use, for transport of goods",MARKS1937,United States,South Africa,South Africa,5,2025,3,2025-03,2025-03-12,20250305,20250305,export,1,102845252,3600.71,kg,KG,"Annaly Capital Management, Inc.",,[in full dataset],New York,,www.annaly.com,[in full dataset],Y,ERMELO COMMERCIAL VEHICLES (PTY) LTD,[in full dataset],ERMELO,,www.ettc.co.za,[in full dataset],Y,"Annaly Capital Management, Inc.",[in full dataset],,1490.3,1490.3,"Miami, FL",Ngqura,ERMELO,1,1,1.86,BARZAN,IMO2034465,MH,V157,793,HLCU,HBL,ONEY905943143,HLCU810329778,BMOU9152839,45HC,TANK,HC,LCL,CY/CFS,DB Schenker,3427.07
Goods vehicle (truck),870451,87045190,87045110,6,"Vehicles; with both spark-ignition internal combustion piston engine and electric motors for propulsion, of a g.v.w. not exceeding 5,000kg",MARKS1283,Germany,South Africa,South Africa,5,2024,9,2024-09,2024-09-07,20240924,20240924,export,1,204152907.56,998.31,kg,KG,Autopark Nord GmbH,,[in full dataset],München,,www.autoparknord-gmbh.de,[in full dataset],Y,AMAZING TRAILERS CC,[in full dataset],AMANZIMTOTI,,,,Y,Autopark Nord GmbH,[in full dataset],,4075.8,4075.8,Hamburg,Port Elizabeth,AMANZIMTOTI,1,1,5.09,COSCO UNIVERSE,IMO7784965,PA,V111,618,APLU,MBL,YMLU912296845,YMLU144273071,TGHU4053955,40HC,REEFER,GP,LCL,CY/CY,CEVA Logistics,887.46
Goods vehicle (truck),870443,87044390,87044310,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS4478,Slovakia,South Africa,South Africa,9,2024,11,2024-11,2024-11-27,20241114,20241114,import,1,8501791.82,33615.09,kg,KG,O Automobil Import s.r.o.,,[in full dataset],Bratislava,,,,Y,BAM GARAGE (PTY) LTD,[in full dataset],PORT ELIZABETH,,,,Y,O Automobil Import s.r.o.,[in full dataset],,2318,2318,Main Container Port,Ngqura,PORT ELIZABETH,1,1,2.9,BARZAN,IMO8482245,SG,V529,751,ZIMU,SWB,ONEY261621692,ONEY346423200,MSCU4693334,40GP,DRY,HC,LCL,CY/CY,Kuehne + Nagel,30828.92
Goods vehicle (truck),870421,87042190,87042191,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS5082,Austria,South Africa,South Africa,6,2024,8,2024-08,2024-08-07,20240807,20240807,import,1,3395769.04,54021.39,kg,KG,BMW Vertriebs GmbH,,[in full dataset],Salzburg,,www.bmw.at,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,BMW Vertriebs GmbH,[in full dataset],,13027.8,13027.8,Main Container Port,Ngqura,BRAKPAN,1,1,16.28,MAERSK MOLLER,IMO4891624,LR,V834,339,CMDU,MBL,YMLU925813483,EGLV435230229,FCIU1816064,40GP,OPEN TOP,GP,LCL,CFS/CFS,CEVA Logistics,51114.03
Motorcycle,871110,,87111000,8,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with internal combustion piston engine of a cylinder capacity not exceeding 50cc, with or without side-cars; side-cars",MARKS9006,Germany,South Africa,South Africa,8,2024,2,2024-02,2024-02-08,20240213,20240213,export,1,184822113.69,8450.93,kg,KG,"VOLKSWAGEN GROUP Original Teile Logistik, Vertrieb & Services GmbH",,[in full dataset],Baunatal,,www.volkswagen-otlg.de,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,N,"VOLKSWAGEN GROUP Original Teile Logistik, Vertrieb & Services GmbH",[in full dataset],,24675.1,24675.1,Wilhelmshaven,Durban,CENTURION,1,1,30.84,BARZAN,IMO5450234,SG,V216,52,HLCU,SWB,ONEY479465465,COSU598074590,TGHU2943738,40GP,FLAT RACK,GP,FCL,CY/CY,DSV,7614.77
Passenger car,870390,87039025,87039000,7,Vehicles; for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,MARKS4184,Netherlands,South Africa,South Africa,8,2024,2,2024-02,2024-02-10,20240225,20240225,export,1,15362573.08,2305.01,kg,KG,Emil Frey Motors B.V.,,[in full dataset],Veenendaal,,www.pganederland.nl,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],Y,Emil Frey Motors B.V.,[in full dataset],,9065.2,9065.2,Amsterdam,Ngqura,BRAMLEY,1,1,11.33,OOCL HONG KONG,IMO5843822,SG,V905,117,EGLV,SWB,COSU993490421,MAEU679241231,MSCU2800560,20GP,OPEN TOP,HC,FCL,CY/CFS,Nippon Express,2096.16
Goods vehicle (truck),870442,87044210,87044291,6,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 5,000kg but not exceeding 20,000kg",MARKS6352,Germany,South Africa,South Africa,9,2024,2,2024-02,2024-02-25,20240216,20240216,export,1,184822113.69,117048.89,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,WE BUY CARS (PTY) LTD,[in full dataset],CENTURION,,www.webuycars.co.za,[in full dataset],Y,AUMOVIO SE,[in full dataset],,7890.2,7890.2,Wilhelmshaven,Cape Town,CENTURION,1,1,9.86,HMM ALGECIRAS,IMO3635234,PA,V329,944,ONEY,HBL,MAEU644020306,MSCU354857072,FCIU5552913,20GP,OPEN TOP,RF,FCL,CFS/CFS,Nippon Express,110703.13
Goods vehicle (truck),870421,87042177,8704219900,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS9287,Mexico,South Africa,South Africa,5,2024,11,2024-11,2024-11-02,20241102,20241102,import,1,5645544.23,17418.77,kg,KG,"Principal Siefore 4, S.A. de C.V.",,[in full dataset],Garza García,,,,Y,ERMELO COMMERCIAL VEHICLES (PTY) LTD,[in full dataset],ERMELO,,www.ettc.co.za,[in full dataset],Y,"Principal Siefore 4, S.A. de C.V.",[in full dataset],,22960.6,22960.6,Lazaro Cardenas,Cape Town,ERMELO,1,1,28.7,HYUNDAI LOYALTY,IMO1630285,PA,V810,906,COSU,MBL,MAEU841456039,COSU321471542,MSCU5244420,20GP,OPEN TOP,GP,FCL,CFS/CFS,Nippon Express,15637.85
Bus / coach,870220,87022087,87022031,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS7778,Thailand,South Africa,South Africa,9,2024,5,2024-05,2024-05-10,20240522,20240522,export,1,90090987.89,28040.75,kg,KG,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,,[in full dataset],CHATUCHAK,,www.pttor.com,[in full dataset],N,LS GROUP MOTOR DIVISION (PTY) LTD,[in full dataset],WELKOM,,www.kiamotors.co.za,[in full dataset],Y,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,[in full dataset],,17189.8,17189.8,Bangkok,Cape Town,WELKOM,1,1,21.49,EVER GIVEN,IMO2937363,LR,V826,925,COSU,SWB,EGLV177182028,ONEY124332245,TGHU7099384,20GP,REEFER,GP,FCL,CY/CFS,Bollore Logistics,26541.5
Motorcycle,871120,87112010,8711209800,7,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS6435,United Kingdom,South Africa,South Africa,7,2025,8,2025-08,2025-08-17,20250810,20250810,export,1,23406536.02,32869.41,kg,KG,VOLVO CAR UK LIMITED,,[in full dataset],MAIDENHEAD,,www.volvocars.com,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,VOLVO CAR UK LIMITED,[in full dataset],,24617,24617,Southampton,Durban,BRAKPAN,1,1,30.77,EVER ACME,IMO3016756,PA,V920,955,CMDU,SWB,YMLU921633217,COSU334668509,CAIU7291508,20GP,OPEN TOP,HC,FCL,CY/CFS,Expeditors,30693.14
Bus / coach,870220,87022010,,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS4584,India,South Africa,South Africa,8,2025,4,2025-04,2025-04-13,20250424,20250424,import,1,160436481.5,5605.96,kg,KG,DCB BANK LIMITED,,[in full dataset],Mumbai,,www.dcbbank.com,[in full dataset],Y,BTO TRAILERS (PTY) LTD,[in full dataset],JOHANNESBURG,,,,Y,DCB BANK LIMITED,[in full dataset],,10708.2,10708.2,Kandla,Durban,JOHANNESBURG,1,1,13.39,HMM ALGECIRAS,IMO2914697,SG,V420,722,ONEY,MBL,ONEY179073987,EGLV947120215,GESU6448871,40GP,OPEN TOP,HC,FCL,CFS/CFS,Expeditors,5260.51
Bus / coach,870240,87024087,,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS2763,India,South Africa,South Africa,6,2024,4,2024-04,2024-04-17,20240404,20240404,import,1,97984383.12,25172.02,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,A W E TRAILERS CC,[in full dataset],JOHANNESBURG,,,,Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,2513.4,2513.4,"Nhava Sheva (JNPT), Mumbai",Cape Town,JOHANNESBURG,1,1,3.14,EVER ACME,IMO7991267,MH,V232,653,MSCU,MBL,CMDU766565350,MSCU141617623,MSCU8192104,40GP,DRY,HC,FCL,CY/CY,Sinotrans,23834.21
Passenger car,870360,87036090,87036010,9,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS3909,Germany,South Africa,South Africa,9,2024,10,2024-10,2024-10-15,20241019,20241019,export,1,167615340.39,17336.11,kg,KG,CITROEN DEUTSCHLAND GmbH,,[in full dataset],Rüsselsheim am Main,,www.citroen.de,[in full dataset],Y,CHARIOTEER TRADER 3 CC,[in full dataset],PIETERMARITZBURG,,www.ginrich.co.za,[in full dataset],N,CITROEN DEUTSCHLAND GmbH,[in full dataset],,14261.2,14261.2,Bremerhaven,Port Elizabeth,PIETERMARITZBURG,1,1,17.83,CSCL GLOBE,IMO9745035,PA,V477,435,YMLU,SWB,CMDU359528543,MAEU328324863,FCIU1093426,45HC,OPEN TOP,GP,FCL,CFS/CFS,Bollore Logistics,16082.25
Goods vehicle (truck),870431,87043190,87043199,8,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS7787,Germany,South Africa,South Africa,5,2024,5,2024-05,2024-05-03,20240518,20240518,import,1,85333056.86,1847.26,kg,KG,AP Solutions GmbH,,[in full dataset],München,,www.allianz-handwerker.de,[in full dataset],Y,MOUNT CURRIE TRACTORS CC,[in full dataset],KOKSTAD,,www.stihl.co.za,[in full dataset],Y,AP Solutions GmbH,[in full dataset],,18218.6,18218.6,Hamburg,Ngqura,KOKSTAD,1,1,22.77,MSC GULSUN,IMO3139841,SG,V469,92,EGLV,HBL,HLCU562622871,MSCU417060638,CAIU2622423,45HC,TANK,GP,FCL,CY/CY,CEVA Logistics,1734.42
Passenger car,870360,87036029,,8,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS3638,India,South Africa,South Africa,7,2025,11,2025-11,2025-11-23,20251107,20251107,import,1,181286605.32,50592.26,kg,KG,VE COMMERCIAL VEHICLES LIMITED,,[in full dataset],Gurugram,,www.vecv.in,[in full dataset],Y,DOLPHIN COAST TRAILERS CC,[in full dataset],DURBAN,,,,N,VE COMMERCIAL VEHICLES LIMITED,[in full dataset],,24235.6,24235.6,Cochin,Cape Town,DURBAN,1,1,30.29,HMM ALGECIRAS,IMO6769320,LR,V357,290,HLCU,SWB,YMLU401603297,YMLU755554775,TCLU9383259,20GP,DRY,HC,FCL,CFS/CFS,DB Schenker,46511.44
Motorcycle,871190,87119090,87119000,8,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS3738,Spain,South Africa,South Africa,7,2025,1,2025-01,2025-01-25,20250113,20250113,import,1,34549170.63,55509.36,kg,KG,"DOMINGO ALONSO, SOCIEDAD LIMITADA",,[in full dataset],LAS PALMAS DE GRAN CANARIA,,www.vwcanarias.com,[in full dataset],Y,DINEKA TRUCKS AND TRAILERS CC,[in full dataset],DUBE,,,,Y,"DOMINGO ALONSO, SOCIEDAD LIMITADA",[in full dataset],,17043.6,17043.6,Bilbao,Durban,DUBE,1,1,21.3,ONE APUS,IMO2896714,PA,V582,601,COSU,HBL,ONEY256424073,YMLU366026129,GESU5761705,40HC,OPEN TOP,GP,FCL,CFS/CFS,Sinotrans,49493.32
Bus / coach,870230,87023087,8702302090,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS9118,China,South Africa,South Africa,7,2025,4,2025-04,2025-04-04,20250416,20250416,import,1,126092355.87,4116.82,kg,KG,"Fu Sheng Group Co.,Ltd.",,[in full dataset],Fuzhou,,www.fushenggroup.com.cn,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,"Fu Sheng Group Co.,Ltd.",[in full dataset],,14950.7,14950.7,Shanghai,Port Elizabeth,BRAKPAN,1,1,18.69,ONE APUS,IMO1727505,PA,V387,464,MAEU,HBL,CMDU462522720,COSU219695790,FCIU7650617,40HC,REEFER,RF,FCL,CY/CFS,Expeditors,3806.89
Motorcycle,871120,87112010,871120920011,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS9712,Turkiye,South Africa,South Africa,8,2025,4,2025-04,2025-04-24,20250417,20250417,import,1,3773732.82,26583.4,kg,KG,TOFAS TURK OTOMOBIL FABRIKASI ANONIM SIRKETI,,[in full dataset],Istanbul (Europe),,www.tofas.com.tr,[in full dataset],Y,PHOENIX MARINE MANUFACTURING (PTY) LTD,[in full dataset],DASSENBERG,,www.phoenixcatamarans.com,[in full dataset],Y,TOFAS TURK OTOMOBIL FABRIKASI ANONIM SIRKETI,[in full dataset],,19503.2,19503.2,Main Container Port,Durban,DASSENBERG,1,1,24.38,CSCL GLOBE,IMO7883608,PA,V205,164,ZIMU,MBL,CMDU758418850,MAEU855805328,CAIU9087129,40GP,FLAT RACK,HC,FCL,CFS/CFS,Bollore Logistics,24476.74
Motorcycle,871120,87112090,8711203000,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS6099,China,South Africa,South Africa,6,2024,4,2024-04,2024-04-01,20240416,20240416,export,1,131177541,29452.43,kg,KG,"FAW Bestune Auto Co., Ltd",,[in full dataset],Changchun,,,,Y,WAYNE PHEIFFER CYCLES TRUST,[in full dataset],PORT ELIZABETH,,,,Y,"FAW Bestune Auto Co., Ltd",[in full dataset],,3318.3,3318.3,Guangzhou,Cape Town,PORT ELIZABETH,1,1,4.15,ONE APUS,IMO4767753,PA,V715,579,YMLU,MBL,HLCU931493918,CMDU322224283,CAIU9553965,20GP,OPEN TOP,RF,FCL,CY/CFS,DHL Global Forwarding,26365.5
Goods vehicle (truck),870421,87042181,8704210000,5,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS8510,China,South Africa,South Africa,7,2024,7,2024-07,2024-07-15,20240701,20240701,import,1,120673042.14,36193.5,kg,KG,"Lingbao Huabao Trading Co., Ltd.",,[in full dataset],Lingbao,,www.hbcy.com,[in full dataset],Y,TRITON TRAILERS CC,[in full dataset],DURBAN,,,,Y,"Lingbao Huabao Trading Co., Ltd.",[in full dataset],,9250.1,9250.1,Yingkou,Durban,DURBAN,1,1,11.56,CSCL GLOBE,IMO9197391,LR,V257,766,MAEU,MBL,CMDU140352195,ONEY256366251,CAIU7625464,40HC,REEFER,RF,FCL,CY/CFS,Yusen Logistics,31673.69
Bus / coach,870290,87029085,87029090,6,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS7555,Germany,South Africa,South Africa,9,2024,1,2024-01,2024-01-27,20240121,20240121,export,1,217705228.33,40819.06,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,VENTER LEISURE AND COMMERCIAL TRAILERS LTD,[in full dataset],FLORIDA,,,,Y,TRATON SE,[in full dataset],,19776.5,19776.5,Bremerhaven,Port Elizabeth,FLORIDA,1,1,24.72,EVER GIVEN,IMO5148501,PA,V692,517,MSCU,SWB,HLCU497814188,EGLV594581238,GESU6613805,45HC,FLAT RACK,RF,FCL,CY/CY,DB Schenker,38744.59
Bus / coach,870220,87022090,87022090,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS3767,Germany,South Africa,South Africa,9,2025,2,2025-02,2025-02-03,20250202,20250202,import,1,70240654.15,23980.86,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,Y,AUMOVIO SE,[in full dataset],,16104.6,16104.6,Wilhelmshaven,Cape Town,CENTURION,1,1,20.13,COSCO UNIVERSE,IMO6029542,SG,V368,960,ONEY,HBL,MSCU303998285,HLCU888889568,MSCU6909300,45HC,FLAT RACK,GP,FCL,CFS/CFS,Bollore Logistics,21483.34
Motorcycle,871120,87112010,8711203000,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS4521,China,South Africa,South Africa,6,2024,5,2024-05,2024-05-13,20240502,20240502,export,1,152690257,110409.64,kg,KG,"Anhui Jianghuai Automobile Group Corp., Ltd.",,[in full dataset],Hefei,,www.jac.com.cn,[in full dataset],Y,NN TRUCK AND TRAILER (PTY) LTD,[in full dataset],BOKSBURG,,www.tommystruck.co.za,[in full dataset],N,"Anhui Jianghuai Automobile Group Corp., Ltd.",[in full dataset],,20696.1,20696.1,Guangzhou,Cape Town,BOKSBURG,1,1,25.87,BARZAN,IMO2536968,PA,V502,28,MAEU,MBL,COSU399575820,ONEY450401112,MSCU8319067,40HC,TANK,RF,FCL,CY/CY,DSV,101416.52
Motorcycle,871160,,87116090,7,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS4000,Italy,South Africa,South Africa,5,2024,11,2024-11,2024-11-08,20241115,20241115,export,1,7794703.16,28870.92,kg,KG,INVESTIRE - SOCIETA' DI GESTIONE DEL RISPARMIO SPA,,[in full dataset],ROMA,,www.investiresgr.it,[in full dataset],Y,M T T PNEUMATICS (PTY) LTD,[in full dataset],KATLEHONG,,www.mttpneumatics.co.za,[in full dataset],Y,INVESTIRE - SOCIETA' DI GESTIONE DEL RISPARMIO SPA,[in full dataset],,3577,3577,Genoa,Cape Town,KATLEHONG,1,1,4.47,MAERSK MOLLER,IMO5136730,LR,V867,580,HLCU,SWB,COSU426630223,YMLU167780273,FCIU7084409,45HC,REEFER,RF,FCL,CY/CY,Yusen Logistics,27398.54
Bus / coach,870210,87021087,8702101020,8,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS7168,South Korea,South Africa,South Africa,6,2025,10,2025-10,2025-10-22,20251020,20251020,export,1,8983704,32712.36,kg,KG,"K Car Co., Ltd.",,[in full dataset],Seoul,,www.kcar.com,[in full dataset],Y,WHOLESALE AUTO DISTRIBUTION (PTY) LTD,[in full dataset],DURBAN,,,,N,"K Car Co., Ltd.",[in full dataset],,10388.6,10388.6,Incheon,Ngqura,DURBAN,1,1,12.99,EVER ACME,IMO5128266,SG,V324,917,ZIMU,SWB,COSU756572334,MAEU860422331,TCLU5738583,40HC,TANK,RF,FCL,CY/CFS,DSV,28646.22
Goods vehicle (truck),870442,87044210,,8,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 5,000kg but not exceeding 20,000kg",MARKS4557,India,South Africa,South Africa,9,2024,3,2024-03,2024-03-14,20240319,20240319,import,1,94057207.22,18265.08,kg,KG,RAY TRANSPORT,,[in full dataset],Chapra,,,,Y,BARKLY OOS MOTORS CC,[in full dataset],BLOEMFONTEIN,,,,N,RAY TRANSPORT,[in full dataset],,12923.4,12923.4,Chennai,Cape Town,BLOEMFONTEIN,1,1,16.15,HYUNDAI LOYALTY,IMO9035601,SG,V399,715,HLCU,HBL,ONEY841888483,EGLV658558560,CAIU1592307,45HC,REEFER,RF,FCL,CFS/CFS,DHL Global Forwarding,15971.37
Passenger car,870340,87034027,8703401290,5,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS2925,China,South Africa,South Africa,8,2025,10,2025-10,2025-10-26,20251013,20251013,import,1,273048544.29,19923.99,kg,KG,"Zhejiang Century Huatong Group Co., Ltd.",,[in full dataset],Shaoxing,,www.sjhuatong.com,[in full dataset],Y,A W E TRAILERS CC,[in full dataset],JOHANNESBURG,,,,Y,"Zhejiang Century Huatong Group Co., Ltd.",[in full dataset],,10257.8,10257.8,Qingdao,Durban,JOHANNESBURG,1,1,12.82,MADRID MAERSK,IMO4273278,SG,V805,725,EGLV,HBL,MAEU171411307,ONEY231789910,MSCU3740578,40HC,TANK,RF,LCL,CY/CFS,DSV,18600.83
