product,india_itc_hs8,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_duns,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Ginger (whole),09101130,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS9945,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-23,20250816,20250816,import,1,3726323.53,1618.29,kg,KG,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],[in full dataset],Aurangabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],,22715.7,22715.7,Tuticorin,Rotterdam,Utrecht,1,1,28.39,HMM ALGECIRAS,IMO8286698,MH,V657,2,YMLU,MBL,ONEY830626095,MSCU985643593,GESU1558538,45HC,FLAT RACK,RF,LCL,CY/CY,Bollore Logistics,1476.49
Black pepper (whole),09041180,09041100,090411,7,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS5875,India,Netherlands,Netherlands,6,2024,2,2024-02,2024-02-12,20240205,20240205,import,1,3777184.92,9486.63,kg,KG,TATA COFFEE LIMITED,[in full dataset],[in full dataset],Bengaluru,,www.tatacoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,TATA COFFEE LIMITED,[in full dataset],,18011.3,18011.3,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,22.51,MOL TRIUMPH,IMO9347454,PA,V907,624,YMLU,MBL,MSCU287413404,YMLU767173956,TCLU4589450,20GP,FLAT RACK,GP,FCL,CFS/CFS,Yusen Logistics,8841.48
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS8496,India,Netherlands,Netherlands,6,2025,6,2025-06,2025-06-07,20250628,20250628,import,1,11170668.99,3606.4,kg,KG,Y V S SPICES CO,[in full dataset],[in full dataset],Chennai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Y V S SPICES CO,[in full dataset],,7117.5,7117.5,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,8.9,CMA CGM JULES VERNE,IMO3354902,MH,V971,218,EGLV,MBL,CMDU478287724,ONEY987134283,CAIU6012169,40HC,OPEN TOP,RF,LCL,CY/CY,CEVA Logistics,3302.71
Coriander seeds,09092190,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS7753,India,Netherlands,Netherlands,8,2025,9,2025-09,2025-09-02,20250903,20250903,import,1,4355714.92,6408.54,kg,KG,TATA COFFEE LIMITED,[in full dataset],[in full dataset],Bengaluru,,www.tatacoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,TATA COFFEE LIMITED,[in full dataset],,23279.7,23279.7,Cochin,Rotterdam,Utrecht,1,1,29.1,EVER ACME,IMO2724814,PA,V667,662,COSU,SWB,MAEU502610362,HLCU880326733,GESU6993326,40GP,DRY,GP,FCL,CY/CY,DHL Global Forwarding,5666.16
Cumin seeds,09093119,09093100,090931,5,"Spices; cumin seeds, neither crushed nor ground",MARKS7101,India,Netherlands,Netherlands,8,2025,2,2025-02,2025-02-05,20250224,20250224,import,1,3491172.76,766.83,kg,KG,KOMARAS SPICES INDIA PRIVATE LIMITED,[in full dataset],[in full dataset],Nellore,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,KOMARAS SPICES INDIA PRIVATE LIMITED,[in full dataset],,6416.1,6416.1,Visakhapatnam,Amsterdam,Utrecht,1,1,8.02,HYUNDAI LOYALTY,IMO5241472,MH,V528,493,ZIMU,SWB,HLCU706453084,MAEU734824271,CAIU9507413,20GP,REEFER,GP,FCL,CFS/CFS,Yusen Logistics,684.89
"Ginger, crushed/ground",09101290,09101200,091012,8,"Spices; ginger, crushed or ground",MARKS5911,India,Netherlands,Netherlands,9,2024,8,2024-08,2024-08-02,20240819,20240819,import,1,6613112.5,15722.37,kg,KG,BARISTS COFFEE COMPANY LIMITED,[in full dataset],[in full dataset],New Delhi,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],N,BARISTS COFFEE COMPANY LIMITED,[in full dataset],,4504.9,4504.9,Kolkata,Amsterdam,Steenwijk,1,1,5.63,YM WARRANTY,IMO7690124,LR,V998,7,COSU,MBL,CMDU270402679,CMDU656198354,GESU4801421,45HC,FLAT RACK,HC,FCL,CFS/CFS,Bollore Logistics,14378.88
Ginger (whole),09101130,09101100,091011,6,"Spices; ginger, neither crushed nor ground",MARKS2015,India,Netherlands,Netherlands,9,2025,8,2025-08,2025-08-25,20250826,20250826,import,1,3726323.53,16798.79,kg,KG,Cothas Coffee Company (Jp Nagar),[in full dataset],[in full dataset],Bengaluru,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,Cothas Coffee Company (Jp Nagar),[in full dataset],,2397.2,2397.2,"Mundra, Gujarat",Amsterdam,Steenwijk,1,1,3,HMM ALGECIRAS,IMO5567858,MH,V405,256,ZIMU,HBL,MAEU358074424,HLCU901792263,TCLU8600161,40HC,FLAT RACK,HC,LCL,CY/CY,Kuehne + Nagel,15004.27
Cumin seeds,09093129,09093100,090931,7,"Spices; cumin seeds, neither crushed nor ground",MARKS1125,India,Netherlands,Netherlands,7,2025,6,2025-06,2025-06-10,20250618,20250618,import,1,11170668.99,4817.38,kg,KG,Y V S SPICES & COMPANY,[in full dataset],[in full dataset],Chennai,,www.gopuramproducts.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Y V S SPICES & COMPANY,[in full dataset],,2633.2,2633.2,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,3.29,BARZAN,IMO2392192,PA,V851,606,OOLU,MBL,COSU719023069,EGLV551478577,FCIU8136801,45HC,DRY,HC,FCL,CY/CY,Kuehne + Nagel,4552.64
Coriander seeds,09092190,09092100,090921,7,"Spices; coriander seeds, neither crushed nor ground",MARKS7275,India,Netherlands,Netherlands,6,2025,7,2025-07,2025-07-08,20250727,20250727,import,1,4053624.08,22259.75,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,Euro Koffie B.V.,[in full dataset],Enschede,,www.eurokoffie.com,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,1037.4,1037.4,"Mundra, Gujarat",Amsterdam,Enschede,1,1,1.3,MADRID MAERSK,IMO7400315,SG,V239,21,OOLU,MBL,MAEU712768766,CMDU556673027,GESU2352424,40GP,REEFER,HC,LCL,CY/CFS,DHL Global Forwarding,20868.77
"Black pepper, crushed/ground",09041200,09041200,090412,6,"Spices; pepper (of the genus piper), crushed or ground",MARKS8751,India,Netherlands,Netherlands,5,2024,1,2024-01,2024-01-01,20240103,20240103,import,1,3584339.46,2793.72,kg,KG,GINGER WEBS PRIVATE LIMITED,[in full dataset],[in full dataset],New Delhi,,www.gingerwebs.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,GINGER WEBS PRIVATE LIMITED,[in full dataset],,963.4,963.4,Kolkata,Rotterdam,Utrecht,1,1,1.2,HYUNDAI LOYALTY,IMO9352490,MH,V307,26,APLU,SWB,CMDU349469936,MSCU636585365,CAIU7743999,40GP,DRY,GP,FCL,CFS/CFS,DHL Global Forwarding,2564.7
"Ginger, crushed/ground",09101210,09101200,091012,5,"Spices; ginger, crushed or ground",MARKS5267,India,Netherlands,Netherlands,9,2024,11,2024-11,2024-11-10,20241105,20241105,import,1,4123757.67,6659.14,kg,KG,COTHAS COFFEE CO,[in full dataset],[in full dataset],Bengaluru Rural,,www.cothas.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,COTHAS COFFEE CO,[in full dataset],,12224.7,12224.7,Chennai,Rotterdam,Utrecht,1,1,15.28,ONE APUS,IMO3025661,LR,V410,195,ONEY,HBL,MSCU548099508,COSU304661710,TGHU3776948,40GP,REEFER,RF,FCL,CFS/CFS,CEVA Logistics,5964.79
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS6671,India,Netherlands,Netherlands,9,2024,2,2024-02,2024-02-09,20240225,20240225,import,1,3777184.92,7709.34,kg,KG,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],[in full dataset],Chennai,,www.aachigroup.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],,2225.1,2225.1,Tuticorin,Amsterdam,Utrecht,1,1,2.78,BARZAN,IMO4737253,MH,V385,524,ZIMU,MBL,CMDU443929088,ONEY272598169,TGHU6114385,40HC,TANK,RF,FCL,CY/CFS,Expeditors,7206.48
Cumin seeds,09093111,09093100,090931,6,"Spices; cumin seeds, neither crushed nor ground",MARKS9685,India,Netherlands,Netherlands,8,2025,8,2025-08,2025-08-23,20250827,20250827,import,1,3726323.53,1739.2,kg,KG,BARISTS COFFEE COMPANY LIMITED,[in full dataset],[in full dataset],New Delhi,,,,Y,Sign Language Coffee Bar B.V.,[in full dataset],Veghel,,www.signlanguagecoffeebar.nl,[in full dataset],Y,BARISTS COFFEE COMPANY LIMITED,[in full dataset],,22226.7,22226.7,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Veghel,1,1,27.78,ONE APUS,IMO8741410,SG,V946,60,ZIMU,SWB,MAEU348899945,EGLV667917723,CAIU8870225,45HC,OPEN TOP,RF,FCL,CY/CFS,Bollore Logistics,1552.66
Coriander seeds,09092110,09092100,090921,5,"Spices; coriander seeds, neither crushed nor ground",MARKS8867,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-25,20250813,20250813,import,1,3726323.53,2542.13,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,14355.9,14355.9,Visakhapatnam,Rotterdam,Utrecht,1,1,17.94,MAERSK MOLLER,IMO8097698,MH,V857,316,ZIMU,SWB,MSCU686425995,EGLV892975835,FCIU8419168,40HC,FLAT RACK,RF,LCL,CY/CFS,Yusen Logistics,2328.83
Turmeric,09103020,09103000,091030,7,Spices; turmeric (curcuma),MARKS6620,India,Netherlands,Netherlands,7,2025,12,2025-12,2025-12-01,20251214,20251214,import,1,5159218.93,26050.4,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,Sign Language Coffee Bar B.V.,[in full dataset],Veghel,,www.signlanguagecoffeebar.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,3839.1,3839.1,Visakhapatnam,Rotterdam,Veghel,1,1,4.8,MSC OSCAR,IMO2705836,MH,V171,752,ONEY,HBL,ONEY137963891,ONEY673056095,TGHU6632993,45HC,OPEN TOP,RF,LCL,CFS/CFS,Nippon Express,23958.58
"Ginger, crushed/ground",09101210,09101200,091012,7,"Spices; ginger, crushed or ground",MARKS2077,India,Netherlands,Netherlands,8,2024,7,2024-07,2024-07-17,20240720,20240720,import,1,9582182.28,1326.86,kg,KG,ANNADA SPICES INDUSTRY,[in full dataset],[in full dataset],West Tripura,,www.longtharai.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ANNADA SPICES INDUSTRY,[in full dataset],,13386.3,13386.3,Cochin,Rotterdam,Utrecht,1,1,16.73,OOCL HONG KONG,IMO6192381,MH,V419,785,YMLU,HBL,EGLV373608828,ONEY863399481,BMOU7152597,45HC,REEFER,GP,FCL,CY/CFS,DB Schenker,1233.95
Black pepper (whole),09041140,09041100,090411,5,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS5893,India,Netherlands,Netherlands,5,2025,7,2025-07,2025-07-14,20250706,20250706,import,1,4053624.08,10974.74,kg,KG,MADHUSUDAN MASALA LIMITED,[in full dataset],[in full dataset],Jamnagar,,www.madhusudanmasala.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MADHUSUDAN MASALA LIMITED,[in full dataset],,23218.9,23218.9,Kandla,Amsterdam,Utrecht,1,1,29.02,HMM ALGECIRAS,IMO6610927,PA,V383,634,ZIMU,SWB,COSU868826430,CMDU198325444,CAIU6965681,40HC,REEFER,HC,LCL,CY/CFS,CEVA Logistics,10237.53
"Black pepper, crushed/ground",09041200,09041200,090412,6,"Spices; pepper (of the genus piper), crushed or ground",MARKS4798,India,Netherlands,Netherlands,8,2024,8,2024-08,2024-08-11,20240802,20240802,import,1,6613112.5,11654.76,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,24983.6,24983.6,Tuticorin,Rotterdam,Utrecht,1,1,31.23,OOCL HONG KONG,IMO5305082,MH,V410,780,ZIMU,HBL,ONEY285855073,COSU751005958,FCIU7562598,40GP,TANK,GP,LCL,CY/CY,DSV,10390.07
Turmeric,09103090,09103000,091030,6,Spices; turmeric (curcuma),MARKS4281,India,Netherlands,Netherlands,8,2025,9,2025-09,2025-09-03,20250906,20250906,import,1,4355714.92,9069.06,kg,KG,GINGER ADVISORS LLP,[in full dataset],[in full dataset],Mumbai,,,,N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,GINGER ADVISORS LLP,[in full dataset],,10805.3,10805.3,Kandla,Rotterdam,Utrecht,1,1,13.51,EVER GIVEN,IMO8307272,MH,V712,578,MAEU,SWB,CMDU252123213,MAEU217117710,CAIU3336093,40HC,DRY,RF,LCL,CFS/CFS,DSV,8040.19
Cumin seeds,09093119,09093100,090931,6,"Spices; cumin seeds, neither crushed nor ground",MARKS8558,India,Netherlands,Netherlands,7,2024,12,2024-12,2024-12-09,20241225,20241225,import,1,4973909.49,1947.14,kg,KG,GINGER WEBS PRIVATE LIMITED,[in full dataset],[in full dataset],New Delhi,,www.gingerwebs.com,[in full dataset],Y,Euro Koffie B.V.,[in full dataset],Enschede,,www.eurokoffie.com,[in full dataset],N,GINGER WEBS PRIVATE LIMITED,[in full dataset],,2092.6,2092.6,Kolkata,Amsterdam,Enschede,1,1,2.62,OOCL HONG KONG,IMO4984780,LR,V654,450,CMDU,HBL,COSU981917824,HLCU303868968,MSCU2250420,45HC,DRY,GP,LCL,CY/CFS,Expeditors,1829.63
"Coriander, crushed/ground",09092200,09092200,090922,6,"Spices; coriander seeds, crushed or ground",MARKS3539,India,Netherlands,Netherlands,5,2025,2,2025-02,2025-02-20,20250202,20250202,import,1,3491172.76,49799.69,kg,KG,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],[in full dataset],Kolkata,,www.mcleodrussel.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],,1441.2,1441.2,Cochin,Amsterdam,Utrecht,1,1,1.8,MAERSK MOLLER,IMO1994679,LR,V658,791,MSCU,HBL,MSCU985512069,ONEY648354060,TGHU1279902,40GP,DRY,HC,LCL,CFS/CFS,DHL Global Forwarding,44859.21
Black pepper (whole),09041150,09041100,090411,7,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS4454,India,Netherlands,Netherlands,9,2025,1,2025-01,2025-01-10,20250123,20250123,import,1,3467849.43,2347.3,kg,KG,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],[in full dataset],Chennai,,www.aachigroup.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],,12644.2,12644.2,Kolkata,Rotterdam,Utrecht,1,1,15.81,BARZAN,IMO5473603,LR,V790,217,ZIMU,SWB,COSU400340108,COSU197605488,CAIU5145635,45HC,FLAT RACK,GP,LCL,CY/CY,Yusen Logistics,2090.33
"Black pepper, crushed/ground",09041200,09041200,090412,9,"Spices; pepper (of the genus piper), crushed or ground",MARKS7155,India,Netherlands,Netherlands,8,2024,2,2024-02,2024-02-05,20240228,20240228,import,1,3777184.92,24271.36,kg,KG,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],[in full dataset],Chennai,,www.aachigroup.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],,5784.8,5784.8,Cochin,Rotterdam,Utrecht,1,1,7.23,OOCL HONG KONG,IMO2158707,MH,V661,131,CMDU,SWB,ONEY909373901,COSU827038334,CAIU2269696,40GP,DRY,HC,LCL,CFS/CFS,DSV,21422.46
Ginger (whole),09101120,09101100,091011,9,"Spices; ginger, neither crushed nor ground",MARKS1306,India,Netherlands,Netherlands,7,2024,10,2024-10,2024-10-06,20241005,20241005,import,1,5609457.12,212.79,kg,KG,ETHNIC SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Guntur,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,ETHNIC SPICES PRIVATE LIMITED,[in full dataset],,22750.1,22750.1,Kolkata,Rotterdam,Steenwijk,1,1,28.44,EVER GIVEN,IMO8899799,LR,V523,181,ZIMU,MBL,EGLV973252450,MSCU378289092,GESU9285198,40GP,FLAT RACK,RF,LCL,CFS/CFS,Sinotrans,200
Cumin seeds,09093129,09093100,090931,9,"Spices; cumin seeds, neither crushed nor ground",MARKS4798,India,Netherlands,Netherlands,7,2025,4,2025-04,2025-04-13,20250413,20250413,import,1,5330617.29,1478.56,kg,KG,MALABAR SPICES,[in full dataset],[in full dataset],Kottayam,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MALABAR SPICES,[in full dataset],,11454.6,11454.6,Chennai,Amsterdam,Utrecht,1,1,14.32,ONE APUS,IMO3544504,MH,V341,290,APLU,SWB,HLCU742192992,HLCU129151369,MSCU6674025,40HC,FLAT RACK,RF,FCL,CFS/CFS,Yusen Logistics,1326.07
"Ginger, crushed/ground",09101290,09101200,091012,7,"Spices; ginger, crushed or ground",MARKS9159,India,Netherlands,Netherlands,5,2024,7,2024-07,2024-07-04,20240711,20240711,import,1,9582182.28,17615.15,kg,KG,BARISTS COFFEE COMPANY LIMITED,[in full dataset],[in full dataset],New Delhi,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,BARISTS COFFEE COMPANY LIMITED,[in full dataset],,19459.1,19459.1,Kandla,Amsterdam,Utrecht,1,1,24.32,MADRID MAERSK,IMO8614120,PA,V247,193,MAEU,SWB,MSCU848456059,MSCU392619927,TCLU1571465,40HC,DRY,RF,FCL,CY/CFS,Yusen Logistics,15412.27
"Black pepper, crushed/ground",09041200,09041200,090412,7,"Spices; pepper (of the genus piper), crushed or ground",MARKS1985,India,Netherlands,Netherlands,6,2024,5,2024-05,2024-05-16,20240523,20240523,import,1,8128089.63,8931.96,kg,KG,INDUS COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Nellore,,www.induscoffee.in,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDUS COFFEE PRIVATE LIMITED,[in full dataset],,24321,24321,Kolkata,Amsterdam,Utrecht,1,1,30.4,COSCO UNIVERSE,IMO7224751,PA,V660,160,HLCU,SWB,CMDU223832700,MSCU702445006,TGHU3160307,45HC,DRY,RF,LCL,CY/CY,DSV,8403.94
"Chilli/Capsicum, crushed/ground",09042212,09042200,090422,5,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS4652,India,Netherlands,Netherlands,6,2024,10,2024-10,2024-10-15,20241023,20241023,import,1,5609457.12,13801.88,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,19923.2,19923.2,Visakhapatnam,Rotterdam,Utrecht,1,1,24.9,MAERSK MOLLER,IMO1161252,PA,V719,700,MAEU,SWB,HLCU267204282,EGLV222661873,BMOU3439080,40HC,DRY,GP,FCL,CY/CFS,Kuehne + Nagel,13085.16
Ginger (whole),09101110,09101100,091011,9,"Spices; ginger, neither crushed nor ground",MARKS3513,India,Netherlands,Netherlands,5,2025,3,2025-03,2025-03-01,20250317,20250317,import,1,4166176.36,18262.79,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,PARAS SPICES PRIVATE LIMITED,[in full dataset],,21024.4,21024.4,Cochin,Amsterdam,Utrecht,1,1,26.28,EVER ACME,IMO8936427,PA,V324,426,HMMU,HBL,MSCU574257040,COSU807497792,BMOU5527124,20GP,REEFER,GP,FCL,CY/CY,DHL Global Forwarding,16697.11
"Coriander, crushed/ground",09092200,09092200,090922,9,"Spices; coriander seeds, crushed or ground",MARKS2918,India,Netherlands,Netherlands,6,2024,11,2024-11,2024-11-09,20241114,20241114,import,1,4123757.67,3488.24,kg,KG,SPICES BOARD OF INDIA,[in full dataset],[in full dataset],Kochi,,www.indianspices.com,[in full dataset],Y,Strauss Coffee B.V.,[in full dataset],Amstelveen,,,,Y,SPICES BOARD OF INDIA,[in full dataset],,771.2,771.2,Kandla,Rotterdam,Amstelveen,1,1,0.96,COSCO UNIVERSE,IMO9364771,LR,V226,706,APLU,MBL,ONEY703656325,YMLU681592903,BMOU1536572,40GP,DRY,HC,FCL,CY/CY,Kuehne + Nagel,3241.85
Coriander seeds,09092190,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS1794,India,Netherlands,Netherlands,9,2024,8,2024-08,2024-08-07,20240819,20240819,import,1,6613112.5,29748.53,kg,KG,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],[in full dataset],Kolkata,,www.mcleodrussel.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],,18951.5,18951.5,Chennai,Rotterdam,Utrecht,1,1,23.69,HYUNDAI LOYALTY,IMO4681594,MH,V900,998,HMMU,SWB,MAEU991657204,YMLU581318410,FCIU5066435,20GP,TANK,GP,FCL,CY/CFS,Expeditors,26101.41
Black pepper (whole),09041170,09041100,090411,6,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS6817,India,Netherlands,Netherlands,8,2024,11,2024-11,2024-11-22,20241128,20241128,import,1,4123757.67,9306.1,kg,KG,TATA COFFEE LIMITED,[in full dataset],[in full dataset],Bengaluru,,www.tatacoffee.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,TATA COFFEE LIMITED,[in full dataset],,21068.2,21068.2,Kolkata,Amsterdam,Utrecht,1,1,26.34,CMA CGM JULES VERNE,IMO9915844,SG,V128,306,CMDU,HBL,MSCU318820202,HLCU122454932,BMOU4075073,45HC,REEFER,HC,FCL,CY/CY,Expeditors,8195.92
Coriander seeds,09092190,09092100,090921,9,"Spices; coriander seeds, neither crushed nor ground",MARKS9704,India,Netherlands,Netherlands,9,2024,9,2024-09,2024-09-09,20240911,20240911,import,1,6665850.08,4347.54,kg,KG,Y V S SPICES & COMPANY,[in full dataset],[in full dataset],Chennai,,www.gopuramproducts.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Y V S SPICES & COMPANY,[in full dataset],,19156.6,19156.6,Kandla,Amsterdam,Utrecht,1,1,23.95,HYUNDAI LOYALTY,IMO7385121,PA,V279,526,ZIMU,MBL,ONEY894837584,CMDU209249823,TCLU1383928,45HC,FLAT RACK,HC,FCL,CY/CY,DSV,4127.52
Black pepper (whole),09041170,09041100,090411,6,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS8097,India,Netherlands,Netherlands,5,2025,7,2025-07,2025-07-17,20250704,20250704,import,1,4053624.08,2353.16,kg,KG,SRI HANUMAN COFFEE WORKS,[in full dataset],[in full dataset],Bengaluru,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SRI HANUMAN COFFEE WORKS,[in full dataset],,6329.4,6329.4,Cochin,Rotterdam,Utrecht,1,1,7.91,MOL TRIUMPH,IMO7920575,LR,V859,301,COSU,HBL,CMDU253156091,COSU321141126,TGHU7919639,20GP,REEFER,HC,LCL,CFS/CFS,DB Schenker,2110.4
Coriander seeds,09092110,09092100,090921,6,"Spices; coriander seeds, neither crushed nor ground",MARKS9241,India,Netherlands,Netherlands,9,2025,6,2025-06,2025-06-26,20250612,20250612,import,1,11170668.99,28555.02,kg,KG,MUDREMANE COFFEE CURERS,[in full dataset],[in full dataset],Chikkamagaluru,,www.mudremane.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MUDREMANE COFFEE CURERS,[in full dataset],,20488.5,20488.5,Tuticorin,Amsterdam,Utrecht,1,1,25.61,CMA CGM JULES VERNE,IMO5876710,SG,V685,446,MAEU,MBL,EGLV633408211,COSU905700671,TCLU5981703,45HC,REEFER,HC,FCL,CY/CFS,Sinotrans,26557.85
